Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Discount_Pct,Sales,Cost,Profit,Payment_Mode,Order_Status,Ship_Date,Salesperson
ORD00654,2025-01-05,CUST0136,Priya Kumar,West,Maharashtra,Electronics,Electronics,LED TV 55,3,43683,5,124496.55,91205.71,33290.84,UPI,Delivered,2025-01-12,Varun
ORD00398,2025-01-05,CUST0219,Sneha Joshi,South,Telangana,Appliances,Appliances,Air Conditioner,3,44605,15,113742.75,115117.58,-1374.83,Credit Card,Delivered,2025-01-10,Kavita
ORD00996,2025-01-07,CUST0201,Kavya Sharma,North,Delhi,Electronics,Electronics,Tablet Plus,2,28440,5,54036.0,43471.98,10564.02,UPI,Delivered,2025-01-11,Tarun
ORD00186,2025-01-08,CUST0166,Pooja Yadav,East,Bihar,Appliances,Appliances,Air Conditioner,3,33786,10,91222.2,77474.59,13747.61,UPI,Delivered,2025-01-10,Kavita
ORD00842,2025-01-08,CUST0260,Sneha Kumar,East,West Bengal,Furniture,Furniture,Bookshelf,4,13344,10,48038.4,37395.47,10642.93,Net Banking,Processing,2025-01-12,Mohit
ORD00580,2025-01-08,CUST0194,Vikram Singh,North,Haryana,Accessories,Accessories,Keyboard,5,1618,0,8090.0,6195.99,1894.01,Credit Card,Delivered,2025-01-15,Deepak
ORD00883,2025-01-08,CUST0185,Sneha Verma,North,Delhi,Accessories,Accessories,Phone Cover,3,278,0,834.0,592.76,241.24,Net Banking,Delivered,2025-01-10,Yash
ORD00463,2025-01-08,CUST0107,Amit Malhotra,West,Rajasthan,Electronics,Electronics,Wireless Headphones,3,3756,10,10141.2,9927.33,213.87,Credit Card,Delivered,2025-01-13,Aman
ORD00818,2025-01-08,CUST0248,Kavya Malhotra,South,Telangana,Furniture,Furniture,Office Chair,4,6716,10,24177.6,18494.24,5683.36,Net Banking,Delivered,2025-01-13,Mohit
ORD00972,2025-01-08,CUST0275,Priya Verma,West,Gujarat,Appliances,Appliances,Refrigerator,2,29674,10,53413.2,43358.58,10054.62,UPI,Delivered,2025-01-14,Yash
ORD00914,2025-01-09,CUST0157,Neha Yadav,South,Kerala,Appliances,Appliances,Air Conditioner,4,64565,15,219521.0,190504.9,29016.1,Cash on Delivery,Delivered,2025-01-16,Varun
ORD00683,2025-01-09,CUST0159,Aarav Yadav,North,Uttar Pradesh,Electronics,Electronics,Smartphone X,2,26320,20,42112.0,42890.57,-778.57,Debit Card,Delivered,2025-01-10,Deepak
ORD00258,2025-01-10,CUST0250,Simran Kumar,East,Odisha,Electronics,Electronics,Laptop Pro 14,4,62966,5,239270.8,171775.38,67495.42,Credit Card,Shipped,2025-01-16,Aman
ORD00481,2025-01-10,CUST0279,Rohan Gupta,East,West Bengal,Accessories,Accessories,Phone Cover,5,701,5,3329.75,2925.38,404.37,Net Banking,Cancelled,2025-01-17,Kavita
ORD00841,2025-01-11,CUST0268,Kavya Patel,North,Delhi,Electronics,Electronics,Tablet Plus,4,38349,5,145726.2,120589.69,25136.51,Net Banking,Shipped,2025-01-13,Yash
ORD00259,2025-01-12,CUST0253,Pooja Gupta,East,Jharkhand,Appliances,Appliances,Microwave Oven,3,9580,10,25866.0,20816.61,5049.39,Credit Card,Delivered,2025-01-19,Deepak
ORD00518,2025-01-12,CUST0263,Aarav Sharma,West,Gujarat,Electronics,Electronics,Tablet Plus,1,21449,0,21449.0,17909.67,3539.33,Net Banking,Shipped,2025-01-17,Yash
ORD00281,2025-01-12,CUST0179,Amit Patel,West,Gujarat,Accessories,Accessories,Mouse,5,1591,20,6364.0,6948.55,-584.55,Net Banking,Delivered,2025-01-13,Tarun
ORD00902,2025-01-12,CUST0167,Ravi Sharma,North,Haryana,Appliances,Appliances,Microwave Oven,5,12311,10,55399.5,48132.69,7266.81,UPI,Delivered,2025-01-17,Mohit
ORD00501,2025-01-13,CUST0172,Amit Sharma,East,Odisha,Electronics,Electronics,Smartphone X,3,43464,15,110833.2,102703.39,8129.81,UPI,Delivered,2025-01-19,Aman
ORD00628,2025-01-13,CUST0263,Aarav Sharma,West,Gujarat,Appliances,Appliances,Refrigerator,3,55025,10,148567.5,141954.42,6613.08,Cash on Delivery,Delivered,2025-01-16,Sonia
ORD00918,2025-01-13,CUST0290,Nisha Patel,West,Rajasthan,Furniture,Furniture,Office Chair,2,11666,5,22165.4,19016.66,3148.74,Net Banking,Delivered,2025-01-18,Aman
ORD00798,2025-01-14,CUST0144,Kavya Malhotra,East,Jharkhand,Electronics,Electronics,Tablet Plus,5,15156,15,64413.0,59033.02,5379.98,Cash on Delivery,Delivered,2025-01-15,Deepak
ORD00371,2025-01-14,CUST0202,Vikram Verma,North,Uttar Pradesh,Appliances,Appliances,Washing Machine,4,29601,5,112483.8,93776.55,18707.25,UPI,Shipped,2025-01-20,Aman
ORD00877,2025-01-15,CUST0197,Priya Yadav,West,Gujarat,Accessories,Accessories,Phone Cover,5,1015,5,4821.25,4551.34,269.91,Debit Card,Delivered,2025-01-20,Sonia
ORD00916,2025-01-15,CUST0125,Meera Mehta,South,Karnataka,Appliances,Appliances,Mixer Grinder,3,3315,20,7956.0,8713.81,-757.81,Debit Card,Delivered,2025-01-16,Varun
ORD00963,2025-01-15,CUST0213,Simran Sharma,North,Uttar Pradesh,Furniture,Furniture,Sofa Set,5,54063,15,229767.75,190176.9,39590.85,Net Banking,Delivered,2025-01-19,Pallavi
ORD00092,2025-01-15,CUST0120,Amit Singh,West,Goa,Electronics,Electronics,LED TV 55,5,47466,5,225463.5,210862.3,14601.2,Credit Card,Processing,2025-01-18,Pallavi
ORD00304,2025-01-16,CUST0209,Pooja Sharma,East,West Bengal,Electronics,Electronics,Laptop Pro 14,1,82464,10,74217.6,69751.27,4466.33,Credit Card,Delivered,2025-01-21,Pallavi
ORD00372,2025-01-16,CUST0223,Kavya Verma,North,Uttar Pradesh,Electronics,Electronics,Tablet Plus,1,17795,15,15125.75,12677.87,2447.88,Credit Card,Delivered,2025-01-20,Mohit
ORD00327,2025-01-17,CUST0191,Rohan Patel,East,Odisha,Furniture,Furniture,Sofa Set,5,25515,0,127575.0,93536.48,34038.52,Credit Card,Cancelled,2025-01-18,Pallavi
ORD00701,2025-01-17,CUST0193,Amit Patel,East,West Bengal,Furniture,Furniture,Office Chair,5,13758,5,65350.5,61747.81,3602.69,Net Banking,Delivered,2025-01-21,Varun
ORD00478,2025-01-17,CUST0258,Vikram Joshi,East,Jharkhand,Electronics,Electronics,Wireless Headphones,2,4439,10,7990.2,6517.52,1472.68,Credit Card,Delivered,2025-01-22,Deepak
ORD00052,2025-01-17,CUST0257,Amit Malhotra,West,Rajasthan,Accessories,Accessories,Keyboard,1,1604,10,1443.6,1264.24,179.36,Net Banking,Delivered,2025-01-19,Tarun
ORD00499,2025-01-18,CUST0203,Aarav Joshi,West,Rajasthan,Furniture,Furniture,Bed Frame,4,54942,10,197791.2,168601.83,29189.37,Debit Card,Delivered,2025-01-21,Tarun
ORD00900,2025-01-18,CUST0253,Pooja Gupta,North,Haryana,Electronics,Electronics,Smartphone X,1,42813,10,38531.7,36044.68,2487.02,UPI,Delivered,2025-01-25,Tarun
ORD00804,2025-01-18,CUST0284,Manish Malhotra,East,Jharkhand,Appliances,Appliances,Washing Machine,2,26654,15,45311.8,42284.21,3027.59,Credit Card,Delivered,2025-01-19,Tarun
ORD00763,2025-01-18,CUST0228,Tanya Yadav,North,Punjab,Appliances,Appliances,Washing Machine,4,54167,0,216668.0,179283.21,37384.79,Credit Card,Delivered,2025-01-20,Pallavi
ORD00377,2025-01-19,CUST0265,Tanya Joshi,West,Rajasthan,Electronics,Electronics,Wireless Headphones,1,2231,5,2119.45,1964.83,154.62,Credit Card,Delivered,2025-01-23,Aman
ORD00618,2025-01-19,CUST0109,Meera Malhotra,South,Telangana,Furniture,Furniture,Sofa Set,5,38276,5,181811.0,150325.18,31485.82,Debit Card,Delivered,2025-01-26,Deepak
ORD00439,2025-01-19,CUST0128,Priya Verma,West,Rajasthan,Appliances,Appliances,Refrigerator,2,58022,10,104439.6,80277.71,24161.89,Net Banking,Delivered,2025-01-20,Raj
ORD00122,2025-01-19,CUST0148,Ravi Malhotra,West,Goa,Appliances,Appliances,Microwave Oven,5,7556,10,34002.0,28168.51,5833.49,UPI,Delivered,2025-01-20,Yash
ORD00783,2025-01-19,CUST0257,Amit Malhotra,North,Punjab,Electronics,Electronics,LED TV 55,2,36364,5,69091.6,59864.85,9226.75,Cash on Delivery,Delivered,2025-01-26,Deepak
ORD00631,2025-01-20,CUST0157,Neha Yadav,West,Rajasthan,Appliances,Appliances,Microwave Oven,5,11368,20,45472.0,45063.03,408.97,Debit Card,Delivered,2025-01-26,Mohit
ORD00235,2025-01-21,CUST0129,Meera Patel,North,Delhi,Electronics,Electronics,Laptop Pro 14,2,77092,10,138765.6,126466.19,12299.41,UPI,Delivered,2025-01-28,Kavita
ORD00070,2025-01-21,CUST0155,Arjun Yadav,West,Rajasthan,Accessories,Accessories,Webcam,4,7040,10,25344.0,20391.34,4952.66,UPI,Delivered,2025-01-22,Varun
ORD00255,2025-01-21,CUST0166,Pooja Yadav,North,Uttar Pradesh,Electronics,Electronics,Wireless Headphones,4,5840,15,19856.0,16109.18,3746.82,UPI,Delivered,2025-01-24,Aman
ORD00299,2025-01-21,CUST0132,Arjun Verma,East,Bihar,Appliances,Appliances,Air Conditioner,1,30220,5,28709.0,21431.01,7277.99,Credit Card,Delivered,2025-01-23,Tarun
ORD00974,2025-01-21,CUST0200,Kavya Patel,North,Punjab,Accessories,Accessories,Phone Cover,2,508,5,965.2,747.54,217.66,Cash on Delivery,Delivered,2025-01-22,Kavita
ORD00771,2025-01-22,CUST0159,Aarav Yadav,North,Punjab,Electronics,Electronics,Wireless Headphones,1,6971,0,6971.0,5349.41,1621.59,Cash on Delivery,Shipped,2025-01-26,Tarun
ORD00156,2025-01-24,CUST0167,Ravi Sharma,North,Uttar Pradesh,Furniture,Furniture,Bookshelf,3,5079,10,13713.3,11519.73,2193.57,UPI,Delivered,2025-01-26,Aman
ORD00915,2025-01-24,CUST0127,Aarav Yadav,East,West Bengal,Electronics,Electronics,Tablet Plus,3,17131,10,46253.7,44916.34,1337.36,Credit Card,Delivered,2025-01-26,Aman
ORD00737,2025-01-24,CUST0217,Nisha Sharma,South,Telangana,Electronics,Electronics,Wireless Headphones,2,5651,10,10171.8,9439.54,732.26,Debit Card,Delivered,2025-01-30,Aman
ORD00976,2025-01-25,CUST0297,Neha Singh,North,Punjab,Appliances,Appliances,Microwave Oven,1,8545,15,7263.25,7513.68,-250.43,Debit Card,Delivered,2025-01-26,Kavita
ORD00277,2025-01-25,CUST0257,Amit Malhotra,West,Goa,Accessories,Accessories,Mouse,2,2364,10,4255.2,3809.9,445.3,Credit Card,Delivered,2025-01-29,Yash
ORD00535,2025-01-25,CUST0267,Simran Sharma,West,Gujarat,Appliances,Appliances,Refrigerator,5,41799,15,177645.75,160636.24,17009.51,Debit Card,Delivered,2025-02-01,Tarun
ORD00828,2025-01-26,CUST0181,Tanya Joshi,South,Karnataka,Electronics,Electronics,Wireless Headphones,1,7494,5,7119.3,6365.03,754.27,UPI,Returned,2025-02-02,Tarun
ORD00265,2025-01-26,CUST0270,Rahul Verma,West,Gujarat,Furniture,Furniture,Study Table,4,21678,0,86712.0,63633.07,23078.93,Net Banking,Processing,2025-01-28,Yash
ORD00099,2025-01-26,CUST0220,Ankit Yadav,North,Haryana,Appliances,Appliances,Microwave Oven,4,8353,5,31741.4,29094.28,2647.12,UPI,Delivered,2025-01-29,Aman
ORD00971,2025-01-26,CUST0223,Kavya Verma,East,Jharkhand,Furniture,Furniture,Study Table,2,23121,15,39305.7,35834.4,3471.3,Debit Card,Shipped,2025-02-02,Pallavi
ORD00051,2025-01-26,CUST0263,Aarav Sharma,West,Gujarat,Furniture,Furniture,Office Chair,4,8494,5,32277.2,25970.74,6306.46,Credit Card,Delivered,2025-01-29,Yash
ORD00844,2025-01-28,CUST0216,Vikram Gupta,West,Rajasthan,Accessories,Accessories,Mouse,4,2911,5,11061.8,9832.07,1229.73,Debit Card,Delivered,2025-02-03,Aman
ORD00455,2025-01-28,CUST0187,Amit Kumar,North,Delhi,Furniture,Furniture,Office Chair,2,9938,0,19876.0,15647.24,4228.76,UPI,Delivered,2025-02-01,Pallavi
ORD00601,2025-01-29,CUST0227,Manish Gupta,North,Haryana,Electronics,Electronics,LED TV 55,5,42465,0,212325.0,174498.55,37826.45,UPI,Delivered,2025-02-05,Mohit
ORD00125,2025-01-29,CUST0218,Nisha Joshi,North,Haryana,Appliances,Appliances,Mixer Grinder,5,5766,0,28830.0,21901.57,6928.43,Debit Card,Delivered,2025-02-01,Raj
ORD00911,2025-01-29,CUST0254,Rohan Joshi,East,Jharkhand,Electronics,Electronics,Laptop Pro 14,2,63167,0,126334.0,97729.26,28604.74,Cash on Delivery,Delivered,2025-02-05,Tarun
ORD00165,2025-01-29,CUST0230,Amit Joshi,North,Haryana,Appliances,Appliances,Air Conditioner,3,44287,0,132861.0,90352.52,42508.48,UPI,Shipped,2025-02-01,Pallavi
ORD00241,2025-01-29,CUST0131,Priya Malhotra,West,Maharashtra,Furniture,Furniture,Office Chair,4,6940,5,26372.0,21833.81,4538.19,UPI,Delivered,2025-02-02,Deepak
ORD00711,2025-01-31,CUST0217,Nisha Sharma,West,Gujarat,Furniture,Furniture,Sofa Set,2,35754,0,71508.0,55938.42,15569.58,UPI,Delivered,2025-02-05,Varun
ORD00055,2025-01-31,CUST0276,Arjun Patel,East,Bihar,Appliances,Appliances,Air Conditioner,2,56140,5,106666.0,76440.72,30225.28,UPI,Delivered,2025-02-03,Aman
ORD00233,2025-01-31,CUST0164,Vikram Kumar,East,Odisha,Appliances,Appliances,Washing Machine,2,23375,0,46750.0,33668.3,13081.7,Debit Card,Delivered,2025-02-03,Varun
ORD00187,2025-02-01,CUST0143,Tanya Verma,West,Maharashtra,Electronics,Electronics,Laptop Pro 14,3,76650,0,229950.0,164067.07,65882.93,Net Banking,Delivered,2025-02-05,Mohit
ORD00843,2025-02-01,CUST0277,Simran Joshi,North,Delhi,Appliances,Appliances,Mixer Grinder,4,7737,0,30948.0,26274.22,4673.78,Credit Card,Cancelled,2025-02-07,Aman
ORD00279,2025-02-01,CUST0233,Pooja Joshi,West,Maharashtra,Accessories,Accessories,USB Hub,4,2177,0,8708.0,6156.08,2551.92,Debit Card,Delivered,2025-02-05,Mohit
ORD00267,2025-02-02,CUST0185,Sneha Verma,East,Jharkhand,Electronics,Electronics,LED TV 55,2,36627,15,62265.9,56515.53,5750.37,UPI,Delivered,2025-02-06,Raj
ORD00508,2025-02-03,CUST0167,Ravi Sharma,West,Gujarat,Furniture,Furniture,Sofa Set,1,52388,0,52388.0,39419.39,12968.61,Cash on Delivery,Delivered,2025-02-08,Kavita
ORD00529,2025-02-03,CUST0131,Priya Malhotra,North,Uttar Pradesh,Electronics,Electronics,Tablet Plus,3,31344,5,89330.4,77042.22,12288.18,UPI,Delivered,2025-02-08,Kavita
ORD00988,2025-02-03,CUST0208,Ankit Sharma,South,Telangana,Appliances,Appliances,Refrigerator,1,46667,15,39666.95,33791.72,5875.23,UPI,Processing,2025-02-06,Raj
ORD00433,2025-02-03,CUST0236,Arjun Kumar,East,Odisha,Electronics,Electronics,LED TV 55,4,39922,10,143719.2,139328.09,4391.11,Cash on Delivery,Delivered,2025-02-06,Varun
ORD00272,2025-02-04,CUST0141,Arjun Verma,West,Maharashtra,Appliances,Appliances,Refrigerator,1,70481,5,66956.95,55945.42,11011.53,Credit Card,Delivered,2025-02-10,Varun
ORD00811,2025-02-04,CUST0226,Aarav Verma,West,Maharashtra,Appliances,Appliances,Refrigerator,1,65394,5,62124.3,56154.47,5969.83,Cash on Delivery,Delivered,2025-02-10,Pallavi
ORD00497,2025-02-04,CUST0180,Amit Malhotra,East,Jharkhand,Accessories,Accessories,Phone Cover,3,952,5,2713.2,2277.36,435.84,Credit Card,Cancelled,2025-02-07,Yash
ORD00532,2025-02-04,CUST0109,Meera Malhotra,West,Gujarat,Furniture,Furniture,Bookshelf,4,15923,5,60507.4,45005.49,15501.91,UPI,Processing,2025-02-05,Yash
ORD00066,2025-02-04,CUST0240,Rohan Gupta,East,Jharkhand,Electronics,Electronics,LED TV 55,3,53690,5,153016.5,139700.46,13316.04,Credit Card,Delivered,2025-02-07,Mohit
ORD00109,2025-02-05,CUST0149,Tanya Singh,North,Punjab,Electronics,Electronics,Laptop Pro 14,1,63226,5,60064.7,49583.73,10480.97,Credit Card,Delivered,2025-02-06,Deepak
ORD00637,2025-02-06,CUST0280,Karan Gupta,East,Bihar,Electronics,Electronics,Smartphone X,3,35517,0,106551.0,82926.8,23624.2,Credit Card,Delivered,2025-02-08,Raj
ORD00802,2025-02-06,CUST0181,Tanya Joshi,North,Haryana,Accessories,Accessories,USB Hub,3,1518,5,4326.3,3261.75,1064.55,UPI,Delivered,2025-02-07,Raj
ORD00969,2025-02-06,CUST0200,Kavya Patel,East,Bihar,Appliances,Appliances,Washing Machine,5,51697,0,258485.0,178983.66,79501.34,UPI,Shipped,2025-02-13,Tarun
ORD00805,2025-02-07,CUST0120,Amit Singh,South,Karnataka,Electronics,Electronics,Wireless Headphones,1,7750,15,6587.5,5611.26,976.24,UPI,Delivered,2025-02-11,Sonia
ORD00143,2025-02-07,CUST0106,Rohan Singh,South,Tamil Nadu,Appliances,Appliances,Mixer Grinder,1,4017,0,4017.0,2999.52,1017.48,Credit Card,Cancelled,2025-02-10,Raj
ORD00998,2025-02-07,CUST0227,Manish Gupta,North,Delhi,Electronics,Electronics,Smartphone X,5,39797,15,169137.25,160188.94,8948.31,Cash on Delivery,Cancelled,2025-02-09,Tarun
ORD00089,2025-02-07,CUST0218,Nisha Joshi,West,Goa,Electronics,Electronics,LED TV 55,4,57366,5,217990.8,160756.61,57234.19,Credit Card,Delivered,2025-02-10,Aman
ORD00386,2025-02-08,CUST0113,Aarav Gupta,West,Gujarat,Accessories,Accessories,Keyboard,2,2550,15,4335.0,4531.01,-196.01,Credit Card,Processing,2025-02-14,Varun
ORD00955,2025-02-08,CUST0111,Priya Joshi,South,Tamil Nadu,Electronics,Electronics,LED TV 55,4,38203,5,145171.4,109443.28,35728.12,UPI,Delivered,2025-02-13,Deepak
ORD00887,2025-02-09,CUST0137,Tanya Sharma,East,Jharkhand,Appliances,Appliances,Refrigerator,2,67041,15,113969.7,107175.1,6794.6,Debit Card,Delivered,2025-02-15,Yash
ORD00689,2025-02-09,CUST0251,Neha Singh,West,Maharashtra,Accessories,Accessories,Webcam,4,7688,15,26139.2,21718.29,4420.91,Debit Card,Shipped,2025-02-10,Deepak
ORD00197,2025-02-10,CUST0134,Amit Sharma,West,Rajasthan,Furniture,Furniture,Bookshelf,2,11082,15,18839.4,18307.41,531.99,Cash on Delivery,Delivered,2025-02-12,Raj
ORD00730,2025-02-10,CUST0160,Arjun Gupta,North,Delhi,Electronics,Electronics,LED TV 55,3,58760,0,176280.0,125613.99,50666.01,Cash on Delivery,Delivered,2025-02-11,Deepak
ORD00042,2025-02-10,CUST0216,Vikram Gupta,South,Telangana,Electronics,Electronics,Tablet Plus,3,24316,10,65653.2,64741.58,911.62,Debit Card,Delivered,2025-02-11,Deepak
ORD00317,2025-02-10,CUST0295,Arjun Gupta,South,Tamil Nadu,Appliances,Appliances,Microwave Oven,1,8033,15,6828.05,6489.16,338.89,Credit Card,Delivered,2025-02-15,Kavita
ORD00757,2025-02-11,CUST0169,Simran Kumar,East,West Bengal,Electronics,Electronics,Smartphone X,5,45160,10,203220.0,167506.63,35713.37,Net Banking,Delivered,2025-02-18,Raj
ORD00373,2025-02-11,CUST0151,Tanya Malhotra,North,Uttar Pradesh,Appliances,Appliances,Mixer Grinder,5,6804,15,28917.0,27711.48,1205.52,Net Banking,Shipped,2025-02-14,Raj
ORD00982,2025-02-11,CUST0238,Pooja Malhotra,West,Goa,Accessories,Accessories,Webcam,2,2373,5,4508.7,3698.85,809.85,Debit Card,Delivered,2025-02-18,Pallavi
ORD00323,2025-02-11,CUST0111,Priya Joshi,East,Odisha,Electronics,Electronics,Tablet Plus,5,19476,10,87642.0,67331.7,20310.3,Cash on Delivery,Delivered,2025-02-15,Varun
ORD00979,2025-02-12,CUST0131,Priya Malhotra,South,Karnataka,Electronics,Electronics,Laptop Pro 14,3,64327,10,173682.9,147408.98,26273.92,UPI,Returned,2025-02-13,Pallavi
ORD00861,2025-02-13,CUST0276,Arjun Patel,West,Rajasthan,Furniture,Furniture,Bookshelf,1,9555,5,9077.25,7244.25,1833.0,UPI,Delivered,2025-02-14,Deepak
ORD00797,2025-02-14,CUST0172,Amit Sharma,West,Rajasthan,Electronics,Electronics,Tablet Plus,3,34888,10,94197.6,71721.48,22476.12,Debit Card,Delivered,2025-02-15,Raj
ORD00765,2025-02-14,CUST0156,Rohan Gupta,North,Delhi,Electronics,Electronics,LED TV 55,4,50479,10,181724.4,165057.24,16667.16,Debit Card,Shipped,2025-02-21,Pallavi
ORD00855,2025-02-14,CUST0127,Aarav Yadav,North,Haryana,Furniture,Furniture,Sofa Set,2,44097,5,83784.3,73350.73,10433.57,UPI,Processing,2025-02-19,Raj
ORD00712,2025-02-16,CUST0144,Kavya Malhotra,East,Bihar,Electronics,Electronics,Tablet Plus,2,38865,15,66070.5,63639.85,2430.65,UPI,Returned,2025-02-21,Sonia
ORD00653,2025-02-16,CUST0253,Pooja Gupta,East,Jharkhand,Appliances,Appliances,Microwave Oven,4,16088,0,64352.0,44868.43,19483.57,UPI,Processing,2025-02-17,Mohit
ORD00427,2025-02-17,CUST0240,Rohan Gupta,South,Telangana,Electronics,Electronics,Wireless Headphones,3,8590,10,23193.0,19536.21,3656.79,UPI,Delivered,2025-02-22,Sonia
ORD00332,2025-02-17,CUST0245,Simran Sharma,West,Gujarat,Accessories,Accessories,Webcam,1,4780,10,4302.0,3352.21,949.79,Debit Card,Processing,2025-02-20,Sonia
ORD00958,2025-02-17,CUST0179,Amit Patel,North,Punjab,Appliances,Appliances,Washing Machine,5,25083,0,125415.0,86325.71,39089.29,Debit Card,Delivered,2025-02-21,Kavita
ORD00096,2025-02-18,CUST0114,Priya Verma,South,Telangana,Accessories,Accessories,Webcam,5,4274,5,20301.5,16872.66,3428.84,UPI,Delivered,2025-02-19,Deepak
ORD00303,2025-02-18,CUST0164,Vikram Kumar,East,Bihar,Electronics,Electronics,Tablet Plus,3,20618,5,58761.3,51857.84,6903.46,Cash on Delivery,Delivered,2025-02-20,Yash
ORD00177,2025-02-18,CUST0287,Neha Gupta,East,Jharkhand,Furniture,Furniture,Bed Frame,4,50113,0,200452.0,169278.39,31173.61,UPI,Delivered,2025-02-23,Sonia
ORD00632,2025-02-19,CUST0153,Arjun Malhotra,West,Rajasthan,Electronics,Electronics,LED TV 55,4,69085,10,248706.0,212122.74,36583.26,Net Banking,Shipped,2025-02-24,Deepak
ORD00464,2025-02-20,CUST0176,Aarav Yadav,East,Odisha,Furniture,Furniture,Bed Frame,4,46386,5,176266.8,160172.47,16094.33,Debit Card,Delivered,2025-02-21,Aman
ORD00950,2025-02-20,CUST0275,Priya Verma,East,Jharkhand,Accessories,Accessories,Webcam,5,2382,5,11314.5,9222.57,2091.93,Cash on Delivery,Delivered,2025-02-22,Mohit
ORD00833,2025-02-20,CUST0148,Ravi Malhotra,North,Delhi,Electronics,Electronics,Wireless Headphones,5,5283,15,22452.75,21320.42,1132.33,Net Banking,Delivered,2025-02-24,Aman
ORD00107,2025-02-20,CUST0136,Priya Kumar,South,Telangana,Electronics,Electronics,Wireless Headphones,4,9720,15,33048.0,26610.51,6437.49,Debit Card,Delivered,2025-02-22,Pallavi
ORD00999,2025-02-21,CUST0126,Rohan Malhotra,West,Gujarat,Appliances,Appliances,Air Conditioner,4,31269,5,118822.2,97145.49,21676.71,Credit Card,Delivered,2025-02-26,Deepak
ORD00986,2025-02-22,CUST0228,Tanya Yadav,South,Tamil Nadu,Accessories,Accessories,Webcam,4,2353,10,8470.8,7561.16,909.64,UPI,Delivered,2025-03-01,Sonia
ORD00803,2025-02-22,CUST0206,Simran Patel,East,Jharkhand,Electronics,Electronics,LED TV 55,2,43055,10,77499.0,71610.07,5888.93,UPI,Delivered,2025-02-23,Kavita
ORD00566,2025-02-23,CUST0234,Rahul Singh,East,Jharkhand,Electronics,Electronics,Tablet Plus,2,37102,10,66783.6,53327.25,13456.35,Debit Card,Delivered,2025-02-25,Kavita
ORD00643,2025-02-23,CUST0155,Arjun Yadav,North,Delhi,Electronics,Electronics,Smartphone X,3,32904,10,88840.8,81862.38,6978.42,UPI,Delivered,2025-03-01,Aman
ORD00447,2025-02-23,CUST0107,Amit Malhotra,West,Maharashtra,Appliances,Appliances,Washing Machine,4,42213,10,151966.8,146114.74,5852.06,Net Banking,Delivered,2025-02-25,Mohit
ORD00163,2025-02-24,CUST0196,Nisha Sharma,East,Bihar,Furniture,Furniture,Bookshelf,3,12514,20,30033.6,28640.73,1392.87,Cash on Delivery,Delivered,2025-02-27,Varun
ORD00076,2025-02-24,CUST0183,Tanya Patel,West,Rajasthan,Electronics,Electronics,Tablet Plus,5,30882,5,146689.5,125902.29,20787.21,UPI,Returned,2025-02-25,Tarun
ORD00874,2025-02-24,CUST0156,Rohan Gupta,South,Kerala,Furniture,Furniture,Bed Frame,1,53709,0,53709.0,39160.1,14548.9,Net Banking,Processing,2025-02-27,Yash
